State,Year,Month,Region,TotalHiredSeasonal,Mexican,HiredWorkers,Local,Intrastate,Interstate,TotalForeign
AL,1957,5.0,6.0,8989.0,0.0,,6939.0,50.0,1000.0,0.0
AL,1957,4.0,6.0,,,142000.0,,,,
AL,1973,4.0,6.0,,,78000.0,,,,
AL,1953,8.0,6.0,6114.0,0.0,,6030.0,84.0,0.0,0.0
AL,1967,6.0,6.0,10595.0,,,9715.0,350.0,530.0,0.0
AL,1952,4.0,6.0,,,298000.0,,,,
AL,1952,7.0,6.0,,,379000.0,,,,
AL,1960,10.0,6.0,25460.0,0.0,425000.0,24985.0,405.0,70.0,0.0
AL,1956,1.0,6.0,,,118000.0,,,,
AL,1962,2.0,,,,,,,,
AL,1963,7.0,6.0,4715.0,0.0,251000.0,4159.0,0.0,556.0,0.0
AL,1953,4.0,6.0,,,345000.0,,,,
AL,1946,1.0,6.0,,,133000.0,,,,
AL,1969,5.0,6.0,4350.0,,,4200.0,150.0,0.0,0.0
AL,1947,10.0,6.0,,,331000.0,,,,
AL,1973,2.0,6.0,,,,,,,
AL,1963,1.0,6.0,,,72000.0,,,,
AL,1971,9.0,6.0,6700.0,,,6600.0,0.0,100.0,0.0
AL,1965,10.0,6.0,15310.0,0.0,251000.0,15225.0,60.0,25.0,0.0
AL,1959,8.0,6.0,3690.0,0.0,,3640.0,50.0,0.0,0.0
AL,1959,11.0,6.0,7210.0,0.0,,7210.0,0.0,0.0,0.0
AL,1966,1.0,6.0,,,61000.0,,,,
AL,1966,2.0,6.0,,,,,,,
AL,1973,10.0,6.0,,,126000.0,,,,
AL,1967,4.0,6.0,,,116000.0,,,,
AL,1969,12.0,6.0,945.0,,,945.0,0.0,0.0,0.0
AL,1974,4.0,6.0,,,,,,,
AL,1967,11.0,,,,,,,,
AL,1956,8.0,6.0,5781.0,0.0,,5212.0,0.0,0.0,0.0
AL,1974,1.0,6.0,,,38000.0,,,,
AL,1945,5.0,6.0,,,,,,,300.0
AL,1962,7.0,6.0,5990.0,0.0,222000.0,5471.0,519.0,0.0,0.0
AL,1963,10.0,6.0,17370.0,0.0,410000.0,17229.0,94.0,47.0,0.0
AL,1972,8.0,6.0,,,,6485.0,0.0,390.0,
AL,1953,9.0,6.0,48530.0,0.0,,48530.0,0.0,0.0,0.0
AL,1959,4.0,6.0,,,137000.0,,,,
AL,1963,8.0,6.0,5750.0,0.0,,5750.0,0.0,0.0,0.0
AL,1946,11.0,6.0,,,,,,,
AL,1953,6.0,6.0,,,,,,,
AL,1957,8.0,6.0,4651.0,0.0,,4651.0,0.0,0.0,0.0
AL,1957,12.0,,,,,,,,
AL,1956,10.0,6.0,39591.0,0.0,459000.0,39391.0,0.0,0.0,0.0
AL,1944,6.0,6.0,,,,,,,
AL,1944,1.0,6.0,,,130000.0,,,,
AL,1969,10.0,6.0,8480.0,,171000.0,8345.0,30.0,105.0,0.0
AL,1970,1.0,6.0,,,39000.0,,,,
AL,1973,8.0,,,,,,,,
AL,1958,8.0,6.0,4000.0,0.0,,3974.0,26.0,0.0,0.0
AL,1964,3.0,6.0,,,,,,,
AL,1974,10.0,6.0,,,,,,,
AL,1964,6.0,6.0,15600.0,0.0,,13631.0,50.0,1919.0,0.0
AL,1961,2.0,,,,,,,,
AL,1947,2.0,6.0,,,,,,,
AL,1961,4.0,6.0,,,132000.0,,,,
AL,1954,9.0,6.0,,,,,,,
AL,1971,12.0,6.0,1250.0,,,1250.0,0.0,0.0,0.0
AL,1950,4.0,6.0,,,318000.0,,,,
AL,1962,10.0,6.0,17420.0,0.0,387000.0,17360.0,60.0,0.0,0.0
AL,1946,7.0,6.0,,,214000.0,,,,
AL,1943,6.0,6.0,,,,,,,
AL,1965,3.0,6.0,,,,,,,
AL,1959,3.0,,,,,,,,
AL,1970,3.0,,,,,,,,
AL,1965,6.0,6.0,11210.0,0.0,,10185.0,700.0,325.0,0.0
AL,1943,5.0,6.0,,,,,,,
AL,1959,1.0,6.0,,,63000.0,,,,
AL,1953,1.0,6.0,,,99000.0,,,,
AL,1957,6.0,6.0,22029.0,0.0,,19639.0,300.0,900.0,0.0
AL,1954,1.0,6.0,,,102000.0,,,,
AL,1972,9.0,6.0,5065.0,,,4915.0,50.0,100.0,0.0
AL,1962,4.0,6.0,,,127000.0,,,,
AL,1949,10.0,6.0,,,584000.0,,,,
AL,1945,3.0,6.0,,,,,,,
AL,1966,4.0,6.0,,,113000.0,,,,
AL,1968,6.0,6.0,,,,10320.0,725.0,975.0,
AL,1970,5.0,6.0,5160.0,,,4985.0,175.0,0.0,0.0
AL,1944,3.0,6.0,,,,,,,
AL,1944,12.0,6.0,,,,,,,
AL,1964,5.0,6.0,5625.0,0.0,,5125.0,0.0,500.0,0.0
AL,1947,3.0,6.0,,,,,,,
AL,1945,6.0,6.0,,,,,,,239.0
AL,1972,2.0,6.0,,,,,,,
AL,1970,4.0,6.0,,,77000.0,,,,
AL,1957,1.0,6.0,,,108000.0,,,,
AL,1946,2.0,6.0,,,,,,,
AL,1954,8.0,6.0,15989.0,0.0,,15764.0,0.0,0.0,0.0
AL,1961,12.0,,,,,,,,
AL,1946,5.0,6.0,,,,,,,373.0
AL,1968,3.0,6.0,,,,,,,
AL,1961,1.0,6.0,,,66000.0,,,,
AL,1950,7.0,6.0,,,372000.0,,,,
AL,1948,10.0,6.0,,,342000.0,,,,
AL,1966,8.0,6.0,1890.0,0.0,,1257.0,633.0,0.0,0.0
AL,1962,8.0,6.0,4445.0,0.0,,3646.0,764.0,35.0,0.0
AL,1952,1.0,6.0,,,87000.0,,,,
AL,1947,12.0,6.0,,,,,,,
AL,1951,1.0,6.0,,,99000.0,,,,
AL,1961,9.0,6.0,12520.0,0.0,,12445.0,15.0,60.0,0.0
AL,1972,7.0,6.0,,,151000.0,8165.0,50.0,395.0,
AL,1967,12.0,,,,,,,,
AL,1962,5.0,6.0,8095.0,0.0,,6799.0,40.0,1256.0,0.0
AL,1948,4.0,6.0,,,170000.0,,,,
AL,1964,4.0,6.0,,,123000.0,,,,
AL,1962,11.0,6.0,1710.0,0.0,,1710.0,0.0,0.0,0.0
AL,1973,1.0,6.0,,,34000.0,,0.0,,
AL,1955,4.0,6.0,,,152000.0,,,,
AL,1958,12.0,6.0,,,,,,,
AL,1969,7.0,6.0,,,130000.0,8130.0,165.0,690.0,
AL,1971,6.0,6.0,,,,9595.0,235.0,375.0,
AL,1962,3.0,,,,,,,,
AL,1958,3.0,,,,,,,,
AL,1963,5.0,6.0,8110.0,0.0,,7300.0,0.0,810.0,0.0
AL,1960,11.0,6.0,8925.0,0.0,,8875.0,0.0,50.0,0.0
AL,1961,6.0,6.0,22475.0,0.0,,21350.0,0.0,1125.0,0.0
AL,1970,7.0,6.0,,,158000.0,7185.0,0.0,415.0,
AL,1968,7.0,6.0,,,181000.0,5260.0,435.0,745.0,
AL,1963,6.0,6.0,14270.0,0.0,,13320.0,0.0,950.0,0.0
AL,1974,7.0,6.0,,,,,,,
AL,1966,10.0,6.0,10710.0,,258000.0,10690.0,20.0,0.0,0.0
AL,1966,5.0,6.0,3570.0,0.0,,3200.0,100.0,270.0,0.0
AL,1965,12.0,6.0,,,,,,,
AL,1959,6.0,6.0,22750.0,0.0,,19350.0,1150.0,2250.0,0.0
AL,1953,10.0,6.0,,,454000.0,,,,
AL,1947,11.0,6.0,,,,,,,
AL,1960,7.0,6.0,4020.0,0.0,237000.0,3670.0,350.0,0.0,0.0
AL,1969,8.0,6.0,,,,3430.0,0.0,795.0,
AL,1956,6.0,6.0,22677.0,0.0,,21562.0,0.0,200.0,0.0
AL,1960,1.0,6.0,,,52000.0,,,,
AL,1945,10.0,6.0,,,291000.0,,,,1680.0
AL,1966,11.0,6.0,4735.0,,,4635.0,70.0,30.0,0.0
AL,1968,9.0,6.0,,,,5130.0,70.0,100.0,
AL,1970,2.0,,,,,,,,
AL,1960,8.0,6.0,1130.0,0.0,,1130.0,0.0,0.0,0.0
AL,1952,10.0,6.0,,,833000.0,,,,
AL,1949,7.0,6.0,,,399000.0,,,,
AL,1973,11.0,,,,,,,,
AL,1958,9.0,6.0,14970.0,0.0,,14720.0,0.0,0.0,0.0
AL,1968,1.0,6.0,,,57000.0,,,,
AL,1975,1.0,6.0,,,,,,,
AL,1958,11.0,6.0,5970.0,0.0,,5770.0,0.0,0.0,0.0
AL,1968,12.0,6.0,550.0,,,550.0,0.0,0.0,0.0
AL,1967,8.0,6.0,3030.0,,,2155.0,75.0,800.0,0.0
AL,1944,7.0,6.0,,,234000.0,,,,
AL,1965,1.0,6.0,,,64000.0,,,,
AL,1960,6.0,6.0,20420.0,0.0,,18082.0,608.0,1730.0,0.0
AL,1943,4.0,6.0,,,217000.0,,,,
AL,1971,1.0,6.0,,,36000.0,,,,
AL,1943,11.0,6.0,,,,,,,
AL,1958,6.0,6.0,20515.0,0.0,,15515.0,800.0,2400.0,0.0
AL,1972,1.0,6.0,,,45000.0,,,,
AL,1946,9.0,6.0,,,,,,,193.0
AL,1972,10.0,6.0,8065.0,,142000.0,7965.0,0.0,100.0,0.0
AL,1966,7.0,6.0,5185.0,0.0,253000.0,4491.0,694.0,0.0,0.0
AL,1962,12.0,6.0,,,,,,,
AL,1971,4.0,6.0,,,83000.0,,,,
AL,1954,7.0,6.0,1473.0,0.0,273000.0,1473.0,0.0,0.0,0.0
AL,1965,4.0,6.0,,,104000.0,,,,
AL,1965,7.0,6.0,6495.0,0.0,245000.0,5825.0,50.0,620.0,0.0
AL,1959,2.0,,,,,,,,
AL,1964,7.0,6.0,4190.0,0.0,274000.0,3616.0,0.0,574.0,0.0
AL,1968,11.0,6.0,3970.0,,,3700.0,195.0,75.0,0.0
AL,1964,1.0,6.0,,,63000.0,,,,
AL,1970,6.0,6.0,10640.0,,,9420.0,585.0,635.0,0.0
AL,1945,2.0,6.0,,,,,,,
AL,1973,3.0,6.0,,,,,,,
AL,1944,10.0,6.0,,,391000.0,,,,
AL,1958,1.0,6.0,,,101000.0,,,,
AL,1960,2.0,,,,,,,,
AL,1960,3.0,,,,,,,,
AL,1970,10.0,6.0,9735.0,,178000.0,9600.0,20.0,115.0,0.0
AL,1955,6.0,6.0,30878.0,0.0,,28988.0,0.0,700.0,0.0
AL,1967,10.0,6.0,5215.0,,201000.0,5018.0,100.0,97.0,0.0
AL,1963,11.0,6.0,3820.0,0.0,,3820.0,0.0,0.0,0.0
AL,1954,10.0,6.0,26842.0,0.0,461000.0,26742.0,0.0,0.0,0.0
AL,1959,7.0,6.0,9705.0,0.0,236000.0,9372.0,258.0,75.0,0.0
AL,1946,12.0,6.0,,,,,,,
AL,1973,5.0,6.0,,,,3780.0,155.0,125.0,
AZ,1943,6.0,8.0,,1371.0,,,,,
AZ,1968,6.0,8.0,,,,16892.0,1540.0,1143.0,
AZ,1944,5.0,8.0,,1302.0,,,,,
AZ,1946,10.0,8.0,,909.0,159000.0,,,,909.0
AZ,1957,7.0,8.0,17457.0,3698.0,186000.0,10603.0,619.0,1445.0,3698.0
AZ,1952,1.0,8.0,,4700.0,62000.0,16200.0,,,
AZ,1952,3.0,8.0,,3000.0,,4400.0,,,
AZ,1974,1.0,8.0,,,63600.0,,,,
AZ,1953,11.0,8.0,51351.0,11778.0,,20544.0,2526.0,16235.0,11778.0
AZ,1966,11.0,8.0,20737.0,,,16608.0,2132.0,1997.0,0.0
AZ,1965,5.0,8.0,18034.0,0.0,,15752.0,1170.0,1112.0,0.0
AZ,1952,8.0,8.0,,2700.0,,5500.0,,,
AZ,1942,4.0,8.0,,,117000.0,,,,
AZ,1947,7.0,8.0,,727.0,182000.0,,,,727.0
AZ,1961,10.0,8.0,26444.0,10859.0,165000.0,12316.0,1280.0,1989.0,10859.0
AZ,1967,9.0,8.0,13510.0,,,12175.0,700.0,635.0,0.0
AZ,1952,12.0,8.0,,14000.0,,15200.0,,,
AZ,1967,8.0,8.0,11345.0,,,10440.0,530.0,375.0,0.0
AZ,1963,12.0,8.0,22871.0,5565.0,,14512.0,1055.0,1739.0,5565.0
AZ,1973,10.0,8.0,,,114900.0,,,,
AZ,1944,6.0,8.0,,1414.0,,,,,
AZ,1964,1.0,8.0,17229.0,3070.0,68000.0,11590.0,1019.0,1550.0,3070.0
AZ,1952,10.0,8.0,,14800.0,193000.0,15200.0,,,
AZ,1968,10.0,8.0,15355.0,,113000.0,12910.0,1225.0,1220.0,0.0
AZ,1959,7.0,8.0,14842.0,3358.0,187000.0,10162.0,525.0,797.0,3358.0
AZ,1951,1.0,8.0,,1800.0,61000.0,13800.0,,,
AZ,1957,11.0,8.0,52529.0,18137.0,,17230.0,3400.0,13208.0,18137.0
AZ,1957,12.0,,,,,,,,
AZ,1963,6.0,8.0,20951.0,6155.0,,13091.0,847.0,858.0,6155.0
AZ,1965,4.0,8.0,16479.0,0.0,66000.0,12800.0,1302.0,2377.0,0.0
AZ,1972,11.0,8.0,19520.0,,,15915.0,1615.0,1990.0,0.0
AZ,1943,7.0,8.0,,984.0,185000.0,,,,
AZ,1962,11.0,8.0,22556.0,7906.0,,12565.0,850.0,1235.0,7906.0
AZ,1971,2.0,8.0,15160.0,,,11841.0,1574.0,1745.0,0.0
AZ,1958,2.0,,,,,,,,
AZ,1958,5.0,8.0,23754.0,8184.0,,12609.0,861.0,1340.0,8184.0
AZ,1967,10.0,8.0,16278.0,,126000.0,13938.0,1340.0,1000.0,0.0
AZ,1959,4.0,8.0,,,77000.0,,,,
AZ,1966,8.0,8.0,10825.0,0.0,,9850.0,585.0,390.0,0.0
AZ,1958,10.0,8.0,46861.0,20124.0,191000.0,16544.0,3250.0,6713.0,20124.0
AZ,1956,4.0,8.0,16060.0,5973.0,82000.0,7677.0,695.0,1240.0,5973.0
AZ,1944,1.0,8.0,,1259.0,86000.0,,,,
AZ,1952,5.0,8.0,,3600.0,,8000.0,,,
AZ,1951,9.0,8.0,,3600.0,,6900.0,,,
AZ,1944,2.0,8.0,,959.0,,,,,
AZ,1968,8.0,8.0,,,,9405.0,475.0,410.0,
AZ,1969,8.0,8.0,,,,9705.0,415.0,355.0,
AZ,1962,6.0,8.0,20052.0,6806.0,,11814.0,597.0,835.0,6806.0
AZ,1946,2.0,8.0,,1533.0,,,,,1533.0
AZ,1944,8.0,8.0,,998.0,,,,,
AZ,1969,9.0,8.0,11105.0,,,9895.0,710.0,500.0,0.0
AZ,1944,11.0,8.0,,687.0,,,,,
AZ,1965,9.0,8.0,12489.0,0.0,,11435.0,535.0,519.0,0.0
AZ,1944,4.0,8.0,,1122.0,92000.0,,,,
AZ,1958,8.0,8.0,17475.0,4831.0,,11069.0,707.0,768.0,4831.0
AZ,1953,1.0,8.0,,6200.0,59000.0,13600.0,,,
AZ,1958,9.0,8.0,33087.0,14362.0,,15209.0,1276.0,2055.0,14362.0
AZ,1975,1.0,8.0,,,,,,,
AZ,1956,6.0,8.0,22837.0,6530.0,,11861.0,980.0,2141.0,6530.0
AZ,1973,8.0,,,,,,,,
AZ,1957,6.0,8.0,21545.0,5451.0,,12089.0,810.0,1540.0,5451.0
AZ,1964,10.0,8.0,18471.0,4499.0,132000.0,11758.0,810.0,1404.0,4499.0
AZ,1960,7.0,8.0,15313.0,3475.0,181000.0,10348.0,655.0,835.0,3475.0
AZ,1970,9.0,8.0,11000.0,,,9520.0,765.0,715.0,0.0
AZ,1958,4.0,8.0,,,79000.0,,,,
AZ,1957,5.0,8.0,19893.0,5863.0,,11102.0,728.0,1305.0,5863.0
AZ,1963,8.0,8.0,11430.0,600.0,,9975.0,359.0,496.0,600.0
AZ,1948,8.0,8.0,,6.0,,,11.0,2197.0,
AZ,1952,11.0,8.0,,14300.0,,15200.0,,,
AZ,1960,1.0,8.0,,,91000.0,,,,
AZ,1963,10.0,8.0,20357.0,6010.0,147000.0,12313.0,715.0,1319.0,6010.0
AZ,1971,11.0,8.0,17895.0,,,14750.0,1415.0,1730.0,0.0
AZ,1961,1.0,8.0,,,90000.0,,,,
AZ,1966,4.0,8.0,18108.0,0.0,67000.0,14710.0,1415.0,1983.0,0.0
AZ,1945,12.0,8.0,,1832.0,,,,,11212.0
AZ,1951,6.0,8.0,,4100.0,,12000.0,,,
AZ,1954,4.0,8.0,,2500.0,71000.0,6700.0,210.0,260.0,
AZ,1945,4.0,8.0,,,93000.0,,,,
AZ,1945,6.0,8.0,,1406.0,,,,,2735.0
AZ,1958,3.0,,,,,,,,
AZ,1960,9.0,8.0,25985.0,11782.0,,11897.0,950.0,1356.0,11782.0
AZ,1943,11.0,8.0,,1625.0,,,,,
AZ,1946,4.0,8.0,,1293.0,101000.0,,,,1293.0
AZ,1955,11.0,8.0,46312.0,12677.0,,16085.0,2975.0,14192.0,12677.0
AZ,1953,7.0,8.0,,4700.0,185000.0,11600.0,,,
AZ,1970,4.0,8.0,,,62900.0,12195.0,1520.0,1640.0,
AZ,1944,12.0,8.0,,2386.0,,,,,
AZ,1969,2.0,8.0,15270.0,,,12520.0,1175.0,1575.0,0.0
AZ,1953,9.0,8.0,35239.0,7574.0,,18491.0,1600.0,7398.0,7574.0
AZ,1951,3.0,8.0,,1600.0,,5500.0,,,
AZ,1963,1.0,8.0,15564.0,3538.0,79000.0,9747.0,1005.0,1274.0,3538.0
AZ,1947,1.0,8.0,,1721.0,84000.0,,,,1721.0
AZ,1969,11.0,8.0,17325.0,,,13540.0,1700.0,2085.0,0.0
AZ,1946,8.0,8.0,,986.0,,,,,986.0
AZ,1950,3.0,8.0,,300.0,,5300.0,,,
AZ,1955,6.0,8.0,20935.0,5556.0,,10935.0,1334.0,1980.0,5556.0
AZ,1945,7.0,8.0,,1572.0,161000.0,,,,2810.0
AZ,1961,11.0,8.0,25657.0,10482.0,,11390.0,1095.0,2690.0,10482.0
AZ,1951,4.0,8.0,,2500.0,63000.0,7600.0,,,
AZ,1969,10.0,8.0,15061.0,,130000.0,11905.0,1572.0,1584.0,0.0
AZ,1946,11.0,8.0,,1128.0,,,,,1128.0
AZ,1944,3.0,8.0,,959.0,,,,,
AZ,1947,3.0,8.0,,1381.0,,,,,1381.0
AZ,1946,12.0,8.0,,1784.0,,,,,1784.0
AZ,1965,7.0,8.0,14639.0,0.0,148000.0,13279.0,850.0,510.0,0.0
AZ,1954,10.0,8.0,49092.0,15059.0,199000.0,16182.0,3040.0,14741.0,15059.0
AZ,1972,5.0,8.0,,,,12755.0,800.0,615.0,
AZ,1960,12.0,,,,,,,,
AZ,1951,5.0,8.0,,2600.0,,10900.0,,,
AZ,1948,1.0,8.0,,,84000.0,,,,
